skater,stance,dismounts,timeBetweenTricks,tricks
Tiago Lemos,Goofy,1,"1.42,7.23,3.34,10.13,3.50,11.0,13.57",Switch BS Smith + BS 180 || Fakie FS Flip + BS Lip || Nollie BS Flip + FS Tail || Switch FS Crook || Switch Heel || Switch BS 5-0 + BS 180 out || Nollie Inward Heel + FS Lipslide
Robbie Brockel,Goofy,0,"1.78,3.77,7.49,10.67,12.32,11.73",FS Blunt - Fakie || Cab 270 + Lipslide || BS 360 Kickflip* || Nollie FS 5-0 || FS Shuv + BS 50-50 || Frontside Indy - Hip
Cody Mcentire,Regular,2,"1.35,4.69,4.27,4.66,5.97,6.79,8.44,9.01,12.10,6.56",Switch Heel + Manny || Switch Flip + BS Lip || Tre - Fakie || Nollie Heel || Krook + Nollie Flip || Blunt Stall + BS Flip out || Nollie Back Heel || BS Flip to flat || Kickflip + BS Tailslide || Nollie Big Heel
Evan Smith,Goofy,0,"1.04,5.63,3.11,3.53,8.53,2.80,3.30,6.17,8.08,2.79,9.91",FS Smith || BS 270 || BS Disaster || 360 Impossible + FS Rock || Wally || BS No Comply Tailslide || Wally + Nose Manny || Wally + Wall Ride || FS 180 || Switch Wall Ride || BS 450
Tommy Fynn,Goofy,3,"1.04,3.07,5.29,3.26,11.01,14.06,3.84,15.2,3.82",Fakie FS Boardslide || Fakie Tail Stall || Kickflip + BS Noseblunt || BS 180 Kickflip + Switch Nosegrind + 180 Out || FS Over Noseblunt || Nollie BS Heel + BS Lipslide || Kickflip + Crooked Grind || Rock - Fakie || Fakie Tre + FS Boardslide
Chris Cole,Regular,0,"1.61,3.05,4.54,3.76,9.59,7.60,6.73,4.14,8.99",Switch FS Tail slide + FS Bigspin out || Feeble grind - Fakie || Fakie Flip || Fakie BS Overcrook || BS Bluntslide + BS Kickflip out || Kickflip + BS Lipslide || Nose Stall || Switch FS 360 Kickflip || BS Flip + Switch Nosegrind
Carlos Ribeiro,Regular,1,"1.04,3.31,3.56,3.61,10.33,5.73,14.94",BS Smith + FS 180 Out || Switch Tail Stall || Nollie FS 270 + BS Lipslide || Switch Flip + BS Smith || Nollie FS Heel + Tailslide + BS Flip Out || Switch BS Tailslide + 180 Out || Fakie FS Flip
Nyjah Huston,Goofy,0,"1.53,8.13,5.56,3.44,3.79,17.17,3.39,3.26,11.94,11.81",Kickflip + BS Smith || BS Flip || 50-50 || Kickflip + Nose Manual || Nollie Heelflip + Noseslide || BS 180 + Nose Grind + FS 180 Out || Fakie 5-0 || Fakie FS Blunt || BS 180 + Nose Grind + BS 180 Out || Nollie FS 180 Heelflip
PJ Ladd,Regular,0,"1.21,1.57,2.71,4.15,5.03,4.32,6.91,3.73,2.96,5.79,6.31,8.60,6.73",BS 180 || Switch Kickflip || Fakie Halfcab + Noseslide + FS 180 Heelflip || FS Feeble - Fakie || Switch Tre || Fakie Kickflip || FS 270 || BS Nose Blunt || 5-0 Pivot || Switch BS Tailslide + FS Shuvit out || BS Nollie 270 Heelflip || Switch FS Tailslide + 270 out || Switch Kickflip
Paul Rodriguez,Goofy,2,"1.35,7.37,10.67,9.83,9.64,7.22,11.43",Switch Kickflip + BS 5-0 || Switch BS Smith || Nollie FS Noseslide || Nollie 270 + BS Lip || Switch Kickflip FS Boardslide || Fakie BS Nosegrind || Switch BS 360
Tyshawn Jones,Regular,0,"1.08,3.56,3.52,7.60,3.66,3.76,3.73,5.03,7.26,9.30,4.36",Cab 270 + BS Lipslide || Fakie FS 50-50 || Fakie Disaster || FS Smith || Axel Stall || FS 270 || BS Nosegrind || BS Tailslide || Nollie FS Board slide || Nollie Heelflip BS Boardslide || Blunt - Fakie
