skater,stance,dismounts,timeBetweenTricks,tricks
Chris Joslin,Regular,1,"1.40,3.51,2.82,5.61,9.68,3.4,4.02,10.17,3.4,5.47,3.83,2.36,2.12",BS Flip || Switch 5-0 Pivot || Kickflip || BS Tailslide || BS 360 || BS Lipslide || 5-0 || Treflip || BS Bigspin || Switch Wall Ride || FS 270 Indy || FS Flip || Bigflip
Tiago Lemos,Goofy,0,"1.04,3.51,3.49,4.47,4.26,4.96,5.06,3.69,5.70,8.91,9.59",Treflip || Nollie FS Krook + FS 180 out || Rock - Fakie || Switch Flip + BS Lip || Switch FS Bigspin + Switch BS Tail || Rock - Fakie || BS Halfcab Heel + Noseslide || Nollie Flip || Wallride || Switch FS Feeble || Switch Inward Heel + 5-0 MISS
Carlos Ribeiro,Regular,1,"2.14,3.46,2.68,3.83,14.29,4.11,3.56,4.50,4.05",FS Krook - Pop over || 5-0 || Nollie FS Heel || Fakie FS Shuv + Switch 5-0 + BS 180 out || Kickflip || Nollie Flip + BS Noseslide || 5-0 Pivot - Fakie || Switch Flip + FS Board || Switch Heel + BS Smith
Alec Majerus,Goofy,1,"1.11,3.90,6.06,7.53,7.62,5.57,12.26,11.18",BS Tail || BS 180 + Fakie 5-0 || Switch BS Krook || BS 180 (hardway) + 50-50 || Kickflip || FS Blunt || BS 270 Halfcab + BS Tail + 180 Out || Hardflip
Mark Appleyard,Goofy,0,"1.30,3.20,3.30,3.87,5.99,8.43,6.54,3.75,3.97,4.59",Switch BS Krook || Switch Rock || Nollie BS Krook || Nollie Flip + BS Noseslide || FS 5-0 || BS Smith || FS Overcrook Transfer || Axel Stall || Treflip + FS 5-0 || Nollie FS 360
Carlos Iqui,Regular,0,"3.07,7.34,3.83,6.16,8.46,3.80,6.92",Fakie Hardflip + FS 5-0 + BS 180 || Nollie FS Blunt + BS 180 || Switch Flip + BS 5-0 || Nollie Heel + FS Nosegrind || 50-50 || Nosegrind || Hardflip + BS Nosegrind +  BS 180
Luan Oliveira,Regular,0,"1.08,1.59,4.93,3.76,3.40,3.72,2.61,5.09,3.74,3.16,3.06,3.96,7.04,3.36",Fakie Flip || Switch BS Tail + FS 180 Heelflip || Nollie Flip || Treflip + BS Noseslide || Blunt Stall - Kickflip out || Switch Treflip || Switch BS Tail || BS Halfcab Flip || FS Flip + Disaster || BS Flip || Switch FS 360 Heelflip || Switch BS 180 + Nosegrind + BS 180 || FS Flip || Switch Heel
Paul Rodriguez,Goofy,2,"1.53,12.47,12.05,9.91,14.72,9.90",Switch Treflip || Switch FS Bluntslide || Nollie Flip + BS Krook || Feeble || Switch BS Tail + Switch BS Flip out || Krook + Nollie Heel
Brad Cromer,Regular,1,"1.03,2.84,7.63,3.94,11.69,8.14,11.36,4.37,3.95,2.8,1.33",Boardslide || Treflip + Manny || Fakie Lazy Grind || FS Bigspin + FS Lip || Kickflip || FS Flip || Switch Flip || Fakie Disaster || Impossible || FS 180 No Comply || Switch Flip
Felipe Gustavo,Goofy,1,"1.05,4.06, 10.34,5.50,6.67,4.86,12.33,8.96,3.53",Nollie Flip + FS Noseslide || Nollie Flip + BS Noseslide + FS 360 Shuv || Switch FS Flip + Krooked || Kickflip + FS Noseblunt || Nosestall || Switch FS Tail || Switch FS Flip || Kickflip + FS Nosegrind || Treflip
